job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
1,20,Data Scientist,Senior Data Analyst,"Austin, TX",LinkedIn,Full-time,False,USA,2023-12-15 00:00:00,True,True,USA,year,133702,64.28
2,9,Data Analyst,Senior Analytics Engineer,Anywhere,LinkedIn,Part-time,True,USA,2023-01-27 00:00:00,True,True,USA,year,198144,95.26
3,30,Analytics Engineer,Senior Data Analyst,"London, UK",LinkedIn,Full-time,False,USA,2023-01-10 00:00:00,False,True,USA,year,120418,57.89
4,34,Data Engineer,Senior Data Analyst,"Austin, TX",LinkedIn,Part-time,False,USA,2023-12-19 00:00:00,False,False,USA,year,129437,62.23
5,12,Data Analyst,Senior Data Analyst,"Austin, TX",LinkedIn,Part-time,False,USA,2023-06-16 00:00:00,False,True,USA,year,156591,75.28
6,10,Data Analyst,Senior Machine Learning Engineer,Anywhere,LinkedIn,Full-time,True,USA,2023-03-05 00:00:00,False,False,USA,year,74597,35.86
7,15,Data Analyst,Senior Data Engineer,"Austin, TX",LinkedIn,Part-time,False,USA,2023-07-01 00:00:00,True,True,USA,year,197419,94.91
8,46,Data Scientist,Senior Data Scientist,Anywhere,LinkedIn,Full-time,True,USA,2023-07-27 00:00:00,True,False,USA,year,86978,41.82
9,24,Machine Learning Engineer,Senior Data Engineer,Anywhere,LinkedIn,Part-time,True,USA,2023-10-14 00:00:00,False,False,USA,year,185138,89.01
10,36,Data Engineer,Senior Data Scientist,"San Francisco, CA",LinkedIn,Part-time,False,USA,2023-04-12 00:00:00,True,False,USA,year,142135,68.33
11,42,Analytics Engineer,Senior Analytics Engineer,"London, UK",LinkedIn,Part-time,False,USA,2023-05-26 00:00:00,False,False,USA,year,181432,87.23
12,47,Analytics Engineer,Senior Analytics Engineer,"San Francisco, CA",LinkedIn,Part-time,False,USA,2023-05-10 00:00:00,True,False,USA,year,178434,85.79
13,20,Data Analyst,Senior Analytics Engineer,Anywhere,LinkedIn,Full-time,True,USA,2023-10-23 00:00:00,True,True,USA,year,144848,69.64
14,26,Data Analyst,Senior Data Analyst,"London, UK",LinkedIn,Part-time,False,USA,2023-03-11 00:00:00,False,False,USA,year,164464,79.07
15,44,Data Scientist,Senior Data Scientist,Anywhere,LinkedIn,Part-time,True,USA,2023-08-11 00:00:00,True,True,USA,year,72627,34.92
16,6,Analytics Engineer,Senior Machine Learning Engineer,"New York, NY",LinkedIn,Full-time,False,USA,2023-05-26 00:00:00,True,True,USA,year,76129,36.6
17,12,Data Scientist,Senior Analytics Engineer,Remote,LinkedIn,Part-time,False,USA,2023-07-11 00:00:00,False,False,USA,year,76650,36.85
18,5,Analytics Engineer,Senior Analytics Engineer,Anywhere,LinkedIn,Part-time,True,USA,2023-01-20 00:00:00,True,True,USA,year,154981,74.51
19,15,Machine Learning Engineer,Senior Analytics Engineer,Anywhere,LinkedIn,Contract,True,USA,2023-08-26 00:00:00,True,False,USA,year,181374,87.2
20,36,Data Analyst,Senior Data Engineer,Anywhere,LinkedIn,Contract,True,USA,2023-05-17 00:00:00,False,False,USA,year,176517,84.86
21,36,Data Scientist,Senior Analytics Engineer,Remote,LinkedIn,Part-time,False,USA,2023-02-04 00:00:00,True,True,USA,year,103219,49.62
22,1,Data Engineer,Senior Data Analyst,Remote,LinkedIn,Contract,False,USA,2023-09-17 00:00:00,True,True,USA,year,115730,55.64
23,37,Data Analyst,Senior Data Scientist,"Austin, TX",LinkedIn,Full-time,False,USA,2023-09-14 00:00:00,True,True,USA,year,82235,39.54
24,3,Analytics Engineer,Senior Machine Learning Engineer,Anywhere,LinkedIn,Full-time,True,USA,2023-09-03 00:00:00,False,True,USA,year,90722,43.62
25,4,Analytics Engineer,Senior Data Engineer,Anywhere,LinkedIn,Full-time,True,USA,2023-04-02 00:00:00,True,True,USA,year,103741,49.88
26,35,Data Scientist,Senior Analytics Engineer,Anywhere,LinkedIn,Part-time,True,USA,2023-04-08 00:00:00,False,False,USA,year,185923,89.39
27,15,Machine Learning Engineer,Senior Data Engineer,"San Francisco, CA",LinkedIn,Part-time,False,USA,2023-06-07 00:00:00,True,False,USA,year,152564,73.35
28,11,Data Analyst,Senior Machine Learning Engineer,Anywhere,LinkedIn,Full-time,True,USA,2023-07-05 00:00:00,True,True,USA,year,82919,39.86
29,11,Data Scientist,Senior Machine Learning Engineer,Anywhere,LinkedIn,Part-time,True,USA,2023-06-13 00:00:00,True,False,USA,year,162106,77.94
30,44,Data Analyst,Senior Data Engineer,Remote,LinkedIn,Contract,False,USA,2023-08-04 00:00:00,True,False,USA,year,180966,87.0
31,31,Data Analyst,Senior Data Engineer,Anywhere,LinkedIn,Contract,True,USA,2023-05-15 00:00:00,True,False,USA,year,98901,47.55
32,39,Data Analyst,Senior Data Scientist,"London, UK",LinkedIn,Full-time,False,USA,2023-04-18 00:00:00,True,True,USA,year,93543,44.97
33,14,Data Analyst,Senior Data Engineer,Anywhere,LinkedIn,Contract,True,USA,2023-04-10 00:00:00,True,True,USA,year,174997,84.13
34,27,Analytics Engineer,Senior Data Analyst,Anywhere,LinkedIn,Part-time,True,USA,2023-05-27 00:00:00,True,True,USA,year,125610,60.39
