job_id,skill_id
1,10
1,16
2,11
2,5
2,12
2,16
3,15
3,3
3,12
3,2
4,7
4,14
4,18
5,14
5,13
5,1
5,17
6,3
7,10
7,2
7,14
7,18
7,6
8,15
8,7
8,6
8,1
9,9
9,10
9,17
9,18
9,6
10,11
10,6
11,18
11,14
12,5
12,3
13,8
13,17
13,14
14,12
14,9
15,5
15,12
16,7
17,15
18,10
18,17
18,3
18,16
18,6
19,14
19,5
19,12
19,10
20,7
20,3
20,13
21,1
21,14
21,7
21,3
22,1
23,1
23,5
23,13
23,14
24,17
24,6
24,5
24,9
25,12
25,11
25,15
25,5
25,18
26,6
26,5
26,4
26,10
27,6
27,10
28,4
28,8
28,6
28,10
29,5
29,13
29,16
29,4
30,14
30,16
30,17
31,12
31,16
32,1
32,9
33,15
33,9
33,11
33,18
34,1
34,17
34,6
34,11
34,8
35,5
36,17
36,8
36,7
37,7
37,15
37,4
37,11
38,12
38,4
38,14
38,10
39,17
39,5
39,13
39,7
39,14
40,7
40,9
40,10
40,12
40,6
41,9
41,17
42,1
43,11
43,4
44,15
44,5
44,3
44,6
45,15
45,18
45,17
45,1
45,2
46,14
46,15
46,3
46,17
46,13
47,7
47,3
47,16
47,5
47,4
48,2
48,9
48,14
48,6
48,4
49,5
49,18
49,10
50,8
50,16
51,15
51,14
51,7
51,10
52,9
52,16
52,2
52,4
52,11
53,15
53,9
53,17
53,18
53,16
54,7
54,14
55,6
55,10
55,9
55,16
55,11
56,2
56,12
57,14
57,7
57,17
57,15
57,8
58,18
58,12
58,5
58,10
59,15
60,2
60,13
61,12
61,4
61,8
61,6
61,9
62,1
62,16
62,18
63,2
63,9
63,18
63,15
64,1
64,6
64,16
65,5
65,14
66,5
66,1
66,10
66,3
67,16
67,9
68,11
69,1
70,6
70,10
70,17
71,10
71,6
72,18
72,9
73,8
73,1
73,15
74,17
74,3
75,8
75,6
76,7
76,3
76,10
77,11
77,7
77,10
77,3
77,18
78,16
79,17
79,4
79,11
80,5
81,14
81,1
81,16
81,6
82,4
82,10
82,12
82,11
82,18
83,18
84,12
84,10
84,13
84,8
84,18
85,1
85,7
85,8
86,2
86,7
86,3
86,13
86,17
87,4
87,18
87,17
88,4
88,16
88,17
89,9
89,4
89,16
89,18
90,15
90,8
91,13
91,5
91,6
92,7
92,13
92,15
92,2
92,3
93,12
93,4
93,18
94,4
94,7
94,15
95,9
96,12
96,4
96,14
96,1
97,2
97,10
97,14
97,13
97,9
98,18
98,16
98,8
98,6
99,5
99,18
100,5
100,15
100,11
101,18
102,1
102,15
102,14
102,11
102,2
103,9
103,10
104,11
104,15
104,16
104,7
104,17
105,18
105,3
105,2
105,7
106,9
106,6
106,8
106,15
107,7
107,14
108,12
108,18
108,8
109,5
109,18
109,16
109,15
109,6
110,10
110,7
110,15
110,6
110,5
111,6
111,1
111,10
111,11
112,7
112,11
112,3
112,14
112,6
113,9
113,8
113,11
113,10
114,14
114,13
114,16
114,15
115,15
115,6
115,12
116,9
116,1
117,2
117,14
117,10
117,11
117,17
118,9
118,3
118,15
118,6
119,18
119,5
119,14
119,6
119,3
120,9
120,2
121,18
121,12
121,17
122,18
122,10
122,4
123,13
123,8
123,5
124,7
124,13
124,18
125,15
125,10
125,5
125,18
126,5
126,18
127,15
128,5
128,6
128,16
128,14
128,3
129,8
129,9
129,10
130,12
130,6
130,9
131,11
131,16
131,5
131,12
131,10
132,18
133,14
133,16
133,7
134,14
134,5
134,2
134,13
135,18
135,8
135,2
135,12
135,3
136,10
136,6
137,8
137,10
138,12
138,3
138,1
138,9
139,8
139,17
139,5
140,2
140,15
140,18
140,9
140,5
141,8
141,18
141,15
141,16
142,14
142,13
142,9
143,5
143,4
143,16
144,6
144,13
144,14
144,11
144,3
145,14
145,13
145,8
146,13
147,14
147,2
148,5
148,18
148,14
148,4
149,13
149,2
149,12
150,17
151,5
151,6
152,10
152,4
152,15
153,14
153,17
153,16
153,4
153,11
154,2
154,10
154,7
155,9
155,7
156,17
156,11
156,8
156,14
157,10
158,4
158,8
158,9
158,15
158,5
159,14
159,16
160,6
160,3
160,12
160,10
160,13
161,17
161,7
161,18
161,11
161,16
162,12
162,3
162,10
163,2
163,13
163,3
163,16
164,3
165,3
165,16
165,8
165,17
166,2
166,9
166,5
166,7
166,14
167,11
167,1
168,6
168,10
168,9
168,3
168,12
169,18
169,2
169,4
169,15
169,9
170,7
170,16
170,18
170,8
171,11
171,14
172,18
172,2
172,14
172,13
172,12
173,4
173,3
173,12
173,11
173,6
174,2
174,5
174,6
174,7
174,13
175,13
175,10
176,1
177,8
177,16
178,17
178,16
179,12
179,1
180,6
180,2
181,15
181,7
181,16
181,14
181,3
182,11
182,14
182,1
182,16
183,5
183,1
183,11
184,8
184,11
184,17
184,6
184,15
185,8
186,3
186,8
186,10
187,6
188,17
188,13
188,14
189,8
189,5
189,13
189,2
189,15
190,4
190,11
191,10
191,9
191,8
191,1
191,13
192,1
192,4
192,9
193,7
193,15
193,12
193,10
193,18
194,11
195,3
195,12
195,8
195,1
195,14
196,1
196,17
196,6
197,9
197,18
197,17
197,8
198,18
198,3
198,9
198,6
199,5
200,8
